index,region,region_name,province,city_municipality,is_capital,population_2015,land_area_sqkm,population_density_2015,cityid_name,latitude,longitude,population_recent,population_proper_recent
0,NCR,National Capital Region,NCR,City of Manila,no,1780148,24.98,71263,manila,14.6,120.9833,23088000,1780148
1,NCR,National Capital Region,NCR,Quezon City,no,2936116,171.71,17099,quezon,14.6333,121.0333,2936116,2936116
2,NCR,National Capital Region,NCR,Caloocan City,no,1583978,55.8,28387,caloocan,14.65,120.9667,1583978,1583978
3,NCR,National Capital Region,NCR,Pasay City,no,416522,13.97,29815,pasay,14.55,121,416522,416522
4,NCR,National Capital Region,NCR,City of Las Piñas,no,588894,32.69,18014,las piñas,14.45,120.9833,588894,588894
5,NCR,National Capital Region,NCR,City of Makati,no,582602,21.57,27010,makati,14.55,121.0333,582602,582602
6,NCR,National Capital Region,NCR,City of Malabon,no,365525,15.71,23267,malabon,14.6625,120.9567,365525,365525
7,NCR,National Capital Region,NCR,City of Mandaluyong,no,386276,9.29,41580,mandaluyong,14.5833,121.0333,386276,386276
8,NCR,National Capital Region,NCR,City of Marikina,no,450741,21.52,20945,marikina,14.65,121.1,450741,450741
9,NCR,National Capital Region,NCR,City of Muntinlupa,no,504509,39.75,12692,muntinlupa,14.3833,121.05,504509,504509
10,NCR,National Capital Region,NCR,City of Navotas,no,249463,8.94,27904,navotas,14.6667,120.9417,249463,249463
11,NCR,National Capital Region,NCR,City of Parañaque,no,665822,46.57,14297,parañaque,14.4667,121.0167,665822,665822
12,NCR,National Capital Region,NCR,City of Pasig,no,755300,48.46,15586,pasig,14.575,121.0833,755300,755300
13,NCR,National Capital Region,NCR,City of San Juan,no,122180,5.95,20534,san juan,14.6,121.0333,122180,122180
14,NCR,National Capital Region,NCR,Taguig City,no,804915,45.21,17804,taguig,14.5167,121.05,804915,804915
15,NCR,National Capital Region,NCR,City of Valenzuela,no,620422,47.02,13195,valenzuela,14.7,120.9833,620422,620422
17,CAR,Cordillera Administrative Region,Abra,Bangued,yes,48163,136.4,353,bangued,17.5965,120.6179,48163,48163
23,CAR,Cordillera Administrative Region,Abra,Dolores,no,11315,47.45,238,dolores,12.05,125.4833,42866,42866
24,CAR,Cordillera Administrative Region,Abra,La Paz,no,15437,51.41,300,la paz,15.4431,120.7289,64017,64017
35,CAR,Cordillera Administrative Region,Abra,Pilar,no,10223,66.1,155,pilar,12.9333,123.6833,74564,74564
37,CAR,Cordillera Administrative Region,Abra,San Isidro,no,4574,48.07,95,san isidro,15.2667,120.9,51612,51612
38,CAR,Cordillera Administrative Region,Abra,San Juan,no,9867,64.08,154,san juan,14.6,121.0333,122180,122180
39,CAR,Cordillera Administrative Region,Abra,San Quintin,no,5438,66.59,82,san quintin,15.9844,120.815,32945,32945
47,CAR,Cordillera Administrative Region,Apayao,Kabugao,yes,15537,935.12,17,kabugao,18.0231,121.184,,
48,CAR,Cordillera Administrative Region,Apayao,Luna,no,19063,606.04,31,luna,16.85,120.3833,35802,35802
54,CAR,Cordillera Administrative Region,Benguet,Buguias,no,43627,175.88,248,buguias,16.7167,120.8333,43627,43627
55,CAR,Cordillera Administrative Region,Benguet,Itogon,no,59820,449.73,133,itogon,16.3667,120.6833,59820,59820
59,CAR,Cordillera Administrative Region,Benguet,La Trinidad,yes,129133,70.04,1844,la trinidad,16.4621,120.5877,129133,129133
60,CAR,Cordillera Administrative Region,Benguet,Mankayan,no,35953,130.48,276,mankayan,16.8667,120.7833,35953,35953
62,CAR,Cordillera Administrative Region,Benguet,Tuba,no,47648,295.97,161,tuba,16.3167,120.55,47648,47648
64,CAR,Cordillera Administrative Region,Benguet,Baguio City,no,345366,57.51,6005,baguio,16.4152,120.5956,345366,345366
72,CAR,Cordillera Administrative Region,Ifugao,Lagawe,yes,19333,208.91,93,lagawe,16.8167,121.1,19333,19333
79,CAR,Cordillera Administrative Region,Kalinga,Pinukpuk,no,32026,743.56,43,pinukpuk,17.6,121.3667,32026,32026
80,CAR,Cordillera Administrative Region,Kalinga,Rizal,no,17038,281.79,60,rizal,15.6833,121.1667,64087,64087
83,CAR,Cordillera Administrative Region,Kalinga,City of Tabuk,yes,110642,700.25,158,tabuk,17.45,121.4583,110642,110642
85,CAR,Cordillera Administrative Region,Mountain Province,Bauko,no,31065,170.37,182,bauko,16.9833,120.8667,31065,31065
87,CAR,Cordillera Administrative Region,Mountain Province,Bontoc,yes,24643,396.1,62,bontoc,10.35,124.9667,28905,28905
89,CAR,Cordillera Administrative Region,Mountain Province,Paracelis,no,28121,570.16,49,paracelis,17.2667,121.4667,28121,28121
95,Region I,Ilocos,Ilocos Norte,Bacarra,no,32215,65.32,493,bacarra,18.2519,120.6107,32215,32215
96,Region I,Ilocos,Ilocos Norte,Badoc,no,31616,76.68,412,badoc,17.9267,120.4754,31616,31616
102,Region I,Ilocos,Ilocos Norte,Dingras,no,38562,96,402,dingras,18.1,120.7,38562,38562
108,Region I,Ilocos,Ilocos Norte,Pasuquin,no,28980,161.41,180,pasuquin,18.3333,120.6167,28980,28980
111,Region I,Ilocos,Ilocos Norte,San Nicolas,no,36736,40.18,914,san nicolas,18.1725,120.5958,36736,36736
114,Region I,Ilocos,Ilocos Norte,Vintar,no,32220,614.35,52,vintar,18.225,120.65,32220,32220
115,Region I,Ilocos,Ilocos Norte,City of Batac,no,55201,161.06,343,batac,18.0554,120.5649,55201,55201
116,Region I,Ilocos,Ilocos Norte,Laoag City,yes,111125,116.08,957,laoag,18.1951,120.5918,111125,111125
119,Region I,Ilocos,Ilocos Sur,Bantay,no,35731,76.6,466,bantay,17.5833,120.3833,35731,35731
121,Region I,Ilocos,Ilocos Sur,Cabugao,no,37501,95.56,392,cabugao,17.8,120.45,37501,37501
127,Region I,Ilocos,Ilocos Sur,Magsingal,no,30792,84.98,362,magsingal,17.685,120.4244,30792,30792
